PUBLICATION_DATE,UID,TAXA_ID,SITE_ID,DATE_COL,VISIT_NO,EPA_REG,STATE,SITESAMP,UNIQUE_ID,AG_ECO9,SAMPLE_TYPE,IS_DISTINCT,IS_DISTINCT300,TOTAL,TOTAL300,TARGET_TAXON,NON_TARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,PTV
2/10/2021,2014737,3695,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,4,2,EMPIDIDAE,,ARTHROPODA,INSECTA,DIPTERA,EMPIDIDAE,,,,PR,SP,6.1
2/10/2021,2014737,3665,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,0,0,1,1,DIPTERA,,ARTHROPODA,INSECTA,DIPTERA,,,,,CG,CB,7.3
2/10/2021,2014737,3816,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,HEXAGENIA,,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE,,,HEXAGENIA,CG,BU,4.3
2/10/2021,2014737,4191,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,21,14,PROCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PROCLADIINI,PROCLADIUS,PR,SP,9
2/10/2021,2014737,3890,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,3,2,LARSIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,LARSIA,PR,SP,4.5
2/10/2021,2014737,3792,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,,1,,HELOBDELLA,,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,HELOBDELLA,PR,SP,8.4
2/10/2021,2014737,3542,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,25,17,CAENIS,,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,,,CAENIS,CG,SP,6
2/10/2021,2014737,3600,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,7,3,CLINOTANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,CLINOTANYPUS,PR,BU,6.3
2/10/2021,2014737,3759,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,6,5,GOMPHIDAE,,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,,,,PR,BU,
2/10/2021,2014737,3628,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,CRYPTOTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CRYPTOTENDIPES,CG,BU,8
2/10/2021,2014737,4231,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,PTYCHOPTERA,,ARTHROPODA,INSECTA,DIPTERA,PTYCHOPTERIDAE,,,PTYCHOPTERA,CG,BU,
2/10/2021,2014737,3928,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,,3,,LIMNOPHYES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,LIMNOPHYES,CG,SP,1
2/10/2021,2014737,4432,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,4,3,ZAVRELIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,ZAVRELIELLA,CG,BU,4.7
2/10/2021,2014737,4056,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,0,0,1,1,ODONATA,,ARTHROPODA,INSECTA,ODONATA,,,,,PR,CB,5
2/10/2021,2014737,4149,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,28,19,PHYSA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PHYSIDAE,,,PHYSA,SC,CB,8
2/10/2021,2014737,4391,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,3,1,TUBIFICIDAE,,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,,,CG,CN,9
2/10/2021,2014737,3612,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,3,2,CORBICULA,,MOLLUSCA,BIVALVIA,VENEROIDA,CORBICULIDAE,,,CORBICULA,CF,BU,5.5
2/10/2021,2014737,3511,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,7,3,BEROSUS,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,,,BEROSUS,"CG,PI",SW,5
2/10/2021,2014737,4340,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,TABANIDAE,,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,,,,PR,SP,7.3
2/10/2021,2014737,3606,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,0,0,1,1,COENAGRIONIDAE,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,,PR,CB,7.9
2/10/2021,2014737,3641,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,7,2,DASYHELEA,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,,DASYHELEA,CG,SP,5.7
2/10/2021,2014737,4247,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,RHEOTANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,RHEOTANYTARSUS,CF,CN,6
2/10/2021,2014737,3566,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,0,0,6,5,CERATOPOGONIDAE,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,,,PR,SP,6
2/10/2021,2014737,4318,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,52,43,STRATIOMYIDAE,,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,,,,CG,SP,7.3
2/10/2021,2014737,4120,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,PARATANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,PARATANYTARSUS,CG,CN,7
2/10/2021,2014737,4368,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,TIPULA,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,TIPULA,SH,BU,4
2/10/2021,2014737,4159,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,49,33,PISIDIUM,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,,PISIDIUM,CF,BU,8
2/10/2021,2014737,4011,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,NECTOPSYCHE,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,,,NECTOPSYCHE,SH,"CB,SP",3.3
2/10/2021,2014737,3481,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,,1,,ARRENURUS,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,,,ARRENURUS,PR,CB,8
2/10/2021,2014737,4130,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,PELTODYTES,,ARTHROPODA,INSECTA,COLEOPTERA,HALIPLIDAE,,,PELTODYTES,"PI,SH","CB,CN",5
2/10/2021,2014737,3593,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,CLADOPELMA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CLADOPELMA,CG,BU,5
2/10/2021,2014737,4161,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,PLANORBELLA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,PLANORBELLA,SC,CB,7.8
2/10/2021,2014737,4135,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,PERICOMA,,ARTHROPODA,INSECTA,DIPTERA,PSYCHODIDAE,,,PERICOMA,CG,BU,1
2/10/2021,2014737,3715,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,5,4,ERIOPTERA,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,ERIOPTERA,CG,"BU,SP",5.5
2/10/2021,2014737,3980,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,10,6,MICROCYLLOEPUS,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,MICROCYLLOEPUS,CG,CN,3.1
2/10/2021,2014737,4143,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,PHAENOPSECTRA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PHAENOPSECTRA,"CG,SC",CN,7
2/10/2021,2014737,4215,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,10,8,PSEUDOLIMNOPHILA,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,PSEUDOLIMNOPHILA,PR,BU,7
2/10/2021,2014737,4315,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,1,STICTOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,STICTOCHIRONOMUS,CG,BU,5
2/10/2021,2014737,3476,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,5,2,ARGIA,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,ARGIA,PR,CB,7.1
2/10/2021,2014737,3791,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,,1,,HELIUS,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,HELIUS,"CG,PR",BU,4
2/10/2021,2014737,4115,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,2,PARAPHAENOCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,PARAPHAENOCLADIUS,CG,SP,5
2/10/2021,2014737,4112,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,9,9,PARAMETRIOCNEMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,PARAMETRIOCNEMUS,CG,SP,3.9
2/10/2021,2014737,3821,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,54,31,HYALELLA,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HYALELLIDAE,,,HYALELLA,"CG,SH",SP,7.5
2/10/2021,2014737,3567,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,14,10,CERATOPOGONINAE,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,,,"PR,CG","SP,BU,PK",
2/10/2021,2014737,4396,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,2,1,TYRRELLIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LIMNESIIDAE,,,TYRRELLIA,PR,,8
2/10/2021,2014737,3699,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,,1,,ENDOTRIBELOS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,ENDOTRIBELOS,CG,BU,
2/10/2021,2014737,3771,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,1,1,1,1,GYRAULUS,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,GYRAULUS,SC,CB,7
2/10/2021,2014737,4369,NRS18_OK_10062,6/20/2018,1,Region_06,OK,Y,NRS_OK-10090,SPL,BERW,0,0,1,1,TIPULIDAE,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,,"SH,CG",BU,3.8
2/10/2021,2012488,4340,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,TABANIDAE,,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,,,,PR,SP,7.3
2/10/2021,2012488,3612,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,CORBICULA,,MOLLUSCA,BIVALVIA,VENEROIDA,CORBICULIDAE,,,CORBICULA,CF,BU,5.5
2/10/2021,2012488,5131,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,6,6,FAXONIUS,,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,,,FAXONIUS,,,
2/10/2021,2012488,3593,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,8,8,CLADOPELMA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CLADOPELMA,CG,BU,5
2/10/2021,2012488,4276,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,SIALIS,,ARTHROPODA,INSECTA,MEGALOPTERA,SIALIDAE,,,SIALIS,PR,BU,4
2/10/2021,2012488,3542,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,6,6,CAENIS,,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,,,CAENIS,CG,SP,6
2/10/2021,2012488,4060,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,OECETIS,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,,,OECETIS,PR,"CN,SP",5.6
2/10/2021,2012488,4159,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,PISIDIUM,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,,PISIDIUM,CF,BU,8
2/10/2021,2012488,4120,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,PARATANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,PARATANYTARSUS,CG,CN,7
2/10/2021,2012488,3646,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,DERO,,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,,,DERO,CG,BU,8
2/10/2021,2012488,4130,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,PELTODYTES,,ARTHROPODA,INSECTA,COLEOPTERA,HALIPLIDAE,,,PELTODYTES,"PI,SH","CB,CN",5
2/10/2021,2012488,3986,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,MIDEOPSIS,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,MIDEOPSIDAE,,,MIDEOPSIS,PR,,8
2/10/2021,2012488,4348,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,20,20,TANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,TANYTARSUS,CF,CN,2.2
2/10/2021,2012488,3658,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,12,12,DICROTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,DICROTENDIPES,CG,BU,6.7
2/10/2021,2012488,3582,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,38,38,CHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CHIRONOMUS,CG,BU,9.5
2/10/2021,2012488,4003,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,0,0,1,1,NAIDIDAE,,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,,,,CG,BU,9
2/10/2021,2012488,3628,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,CRYPTOTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CRYPTOTENDIPES,CG,BU,8
2/10/2021,2012488,3846,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,HYDROPTILA,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,,,HYDROPTILA,"PI,PR,SC",CN,2.6
2/10/2021,2012488,3567,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,35,35,CERATOPOGONINAE,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,,,"PR,CG","SP,BU,PK",
2/10/2021,2012488,4106,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,PARAKIEFFERIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,PARAKIEFFERIELLA,CG,SP,2
2/10/2021,2012488,4347,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,35,35,TANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,TANYPODINI,TANYPUS,PR,SP,6
2/10/2021,2012488,3496,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,AULODRILUS,,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,,AULODRILUS,CG,SP,6.5
2/10/2021,2012488,4026,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,NEOPERLA,,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,,,NEOPERLA,PR,CN,1
2/10/2021,2012488,3532,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,BRANCHIURA,,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,,BRANCHIURA,CG,CB,8.1
2/10/2021,2012488,3678,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,DUBIRAPHIA,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,DUBIRAPHIA,"CG,SC",CN,4.8
2/10/2021,2012488,4191,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,10,10,PROCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PROCLADIINI,PROCLADIUS,PR,SP,9
2/10/2021,2012488,4391,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,0,0,25,25,TUBIFICIDAE,,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,,,CG,CN,9
2/10/2021,2012488,3936,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,LIRCEUS,,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,,,LIRCEUS,CG,SP,8
2/10/2021,2012488,3581,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,0,0,1,1,CHIRONOMIDAE,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,,,"CG,CF",BU,6.2
2/10/2021,2012488,3821,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,7,7,HYALELLA,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HYALELLIDAE,,,HYALELLA,"CG,SH",SP,7.5
2/10/2021,2012488,4212,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,PSEUDOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,PSEUDOCHIRONOMINI,PSEUDOCHIRONOMUS,CG,BU,4
2/10/2021,2012488,4149,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,PHYSA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PHYSIDAE,,,PHYSA,SC,CB,8
2/10/2021,2012488,4318,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,STRATIOMYIDAE,,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,,,,CG,SP,7.3
2/10/2021,2012488,3816,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,2,2,HEXAGENIA,,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE,,,HEXAGENIA,CG,BU,4.3
2/10/2021,2012488,4310,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,4,4,STENELMIS,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,STENELMIS,SC,CN,4.8
2/10/2021,2012488,4379,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,1,1,1,1,TRIBELOS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,TRIBELOS,CG,BU,5.1
2/10/2021,2012488,3566,NRS18_OK_10431,6/25/2018,1,Region_06,OK,Y,NRS_OK-10206,TPL,BERW,0,0,2,2,CERATOPOGONIDAE,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,,,PR,SP,6
2/10/2021,2012489,3581,NRS18_OK_10025,7/2/2018,1,Region_06,OK,Y,NRS_OK-10180,CPL,BERW,0,0,2,2,CHIRONOMIDAE,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,,,"CG,CF",BU,6.2
